"","Sample.Name","Task","Target","delta_ct","ref_delta_ct","ddct","fold_change"
"1","T0",1,"DUSP11",16.2910233333333,16.3817745,-0.0907511666666636,1.06492451137113
"2","T0",2,"DUSP11",15.5762012666667,16.3977279,-0.821526633333335,1.76727510145675
"3","T0",3,"DUSP11",15.5792354333333,16.0821777666667,-0.502942333333333,1.41710075175128
"4","T24",1,"DUSP11",19.5940421666667,16.3817745,3.21226766666667,0.107897424497032
"5","T24",2,"DUSP11",19.1959064666667,16.3977279,2.79817856666667,0.143768690888006
"6","T24",3,"DUSP11",19.5072706666667,16.0821777666667,3.4250929,0.0930988463034043
"7","T48",1,"DUSP11",18.6158526666667,16.3817745,2.23407816666667,0.212557023151002
"8","T48",2,"DUSP11",18.0519078333333,16.3977279,1.65417993333334,0.3177182939398
"9","T48",3,"DUSP11",17.470224,16.0821777666667,1.38804623333333,0.382081885606171
"10","T8",1,"DUSP11",18.7909111333333,16.3817745,2.40913663333334,0.188268477140366
"11","T8",2,"DUSP11",18.6619767,16.3977279,2.2642488,0.208158041725631
"12","T8",3,"DUSP11",18.7042807666667,16.0821777666667,2.622103,0.162430785783512
