"base_name","Target.Name","enrich","input","percent_input","fc","log2fc"
"infect_0.5","RNA18S1",22.6263623333333,7.978673,0.000779177026461944,7.79177026461945e-06,-16.9696174282207
"infect_0.5","FFLUC",NA,25.2277233333333,NA,NA,NA
"infect_02","FFLUC",30.964889,25.3299903333333,0.402491278779433,0.00402491278779433,-7.95682676155403
"infect_02","RNA18S1",20.7385216666667,7.27773306666667,0.0017738988892195,1.7738988892195e-05,-15.7827166948874
"infect_04","RNA18S1",22.1228486666667,8.214555,0.00130081762761793,1.30081762761793e-05,-16.230221761554
"infect_04","FFLUC",NA,26.2080343333333,NA,NA,NA
"infect_24","FFLUC",32.308331,29.051669,2.0925558010979,0.020925558010979,-5.57859009488736
"infect_24","RNA18S1",16.6143306666667,9.00171833333333,0.102189279702645,0.00102189279702645,-9.9345404282207
"mock_0.5","FFLUC",35.272736,25.6361003333333,0.0251254357648313,0.000251254357648313,-11.958563761554
"mock_0.5","RNA18S1",21.8857443333333,8.19235046666667,0.00150975925080015,1.50975925080015e-05,-16.015321961554
"mock_02","FFLUC",29.9759226666667,27.3937936666667,3.33988654337391,0.0333988654337391,-4.90405709488736
"mock_02","RNA18S1",13.0830476666667,8.72880533333333,0.97785046122527,0.0097785046122527,-6.6761704282207
"mock_04","FFLUC",35.3425725,26.230335,0.0361387544800146,0.000361387544800146,-11.4341655948874
"mock_04","RNA18S1",17.07841,7.3584279,0.0237150380744262,0.000237150380744262,-12.0419101948874
"mock_24","FFLUC",32.2998143333333,26.391523,0.333009851261045,0.00333009851261045,-8.2302194282207
"mock_24","RNA18S1",18.485377,8.0085241,0.0140340497777003,0.000140340497777003,-12.7987809948874
