"","induction","Task","Target","ddct","fc"
"1","induced",1,"DUSP11",3.98905495,0.0629759613240039
"2","induced",1,"ISG15",-1.66804221666666,3.17783058985764
"3","induced",1,"MX1",-3.68140105,12.8295712245925
"4","induced",1,"WSN_PB2",NA,NA
"5","induced",2,"DUSP11",NA,NA
"6","induced",2,"ISG15",-0.0162558000000033,1.01133138113777
"7","induced",2,"MX1",-2.5625088,5.90734061662525
"8","induced",2,"WSN_PB2",-26.2140405333333,77841735.1447152
"9","induced",3,"DUSP11",NA,NA
"10","induced",3,"ISG15",-2.08084268333334,4.23054251571855
"11","induced",3,"MX1",-3.77516118333333,13.6910499412341
"12","induced",3,"WSN_PB2",-21.2771373166667,2541303.61461186
"13","uninduced",1,"DUSP11",2.16029513333334,0.223710498406514
"14","uninduced",1,"ISG15",-3.9810242,15.7909296115597
"15","uninduced",1,"MX1",-5.32658286666667,40.1292661000444
"16","uninduced",1,"WSN_PB2",NA,NA
"17","uninduced",2,"DUSP11",3.72227,0.0757678699273274
"18","uninduced",2,"ISG15",-4.03172233333333,16.3557083039425
"19","uninduced",2,"MX1",-5.02268966666667,32.507251296934
"20","uninduced",2,"WSN_PB2",-21.7297797,3477887.17324024
"21","uninduced",3,"DUSP11",2.3295384,0.198947765434614
"22","uninduced",3,"ISG15",-3.7861826,13.7960427566368
"23","uninduced",3,"MX1",-5.51035893333334,45.5809450972314
"24","uninduced",3,"WSN_PB2",-21.6771114,3353209.98533481
